Disease,AUROC,Precision,Recall,F1,Positives
Atelectasis,0.6714,0.1703,0.2627,0.2067,118
Cardiomegaly,0.6954,0.1326,0.3158,0.1868,76
Effusion,0.7052,0.2,0.6471,0.3056,136
Infiltration,0.6437,0.2376,0.6349,0.3458,189
Mass,0.573,0.0,0.0,0.0,37
Nodule,0.5019,0.0354,0.6571,0.0672,35
Pneumonia,0.6391,0.0,0.0,0.0,10
Pneumothorax,0.7623,0.0332,0.6842,0.0633,19
Consolidation,0.7064,0.117,0.8718,0.2064,78
Edema,0.8248,0.1229,0.7073,0.2094,41
Emphysema,0.3726,0.0081,0.1333,0.0152,15
Fibrosis,0.6314,0.0402,0.2759,0.0702,29
Pleural_Thickening,0.5182,0.0,0.0,0.0,36
Hernia,0.7524,0.0,0.0,0.0,5
